2023/9/29 17:18,支付宝,北京一卡通充值,,-1
2023/9/29 13:01,支付宝,小吊梨汤,,-316
2023/9/29 13:00,支付宝,110元小吊梨汤超值券包,,-3.99
2023/9/29 3:11,支付宝,余额宝-收益发放,,5.13
2023/9/28 19:37,支付宝,美的大蒸汽手持新款挂烫机家用,,-139
2023/9/28 8:56,支付宝,钉钉群收款-收款账单-范,,-15
2023/9/28 3:05,支付宝,余额宝-收益发放,,5.25
2023/9/27 8:39,支付宝,钉钉群收款-收款账单-范,,-15
2023/9/27 3:09,支付宝,余额宝-收益发放,,4.26
2023/9/27 1:06,支付宝,御霸厕络,,-18
2023/9/26 8:30,支付宝,钉钉群收款-收款账单-范,,-15
2023/9/26 3:03,支付宝,余额宝-收益发放,,4.8
2023/9/25 2:28,支付宝,余额宝-收益发放,,4.39
2023/9/24 13:41,支付宝,余额宝-转出到银行卡,,5000
2023/9/23 11:50,支付宝,燕京啤潘 10°P特制啤酒 330m/等,,-91.92
2023/9/22 13:34,支付宝,转账-丫丫(马丽芳),,-4
2023/9/22 13:31,支付宝,支付宝发红包你赚现金奖励,,0.96
2023/9/22 13:31,支付宝,收钱码收款-來自*芳,,8
2023/9/22 13:13,支付宝,收钱码收教-来自*妮,,5
2023/9/22 2:42,支付宝,余额宝-收益发放,,4.29
2023/9/21 15:47,支付宝,App Store & Apple Music,,-19
2023/9/21 9:20,支付宝,2023年下半年软考,,-171
2023/9/21 8:30,支付宝,钉钉群收款-收款账单-范,,-15
2023/9/21 8:02,支付宝,为152***1605话费充值,,-99.79
2023/9/21 2:31,支付宝,余额宝-收益发放,,4.2
2023/9/20 23:07,支付宝,转账-黄佳妮(黄佳妮）,,-100
2023/9/20 8:21,支付宝,钉钉群收教-收款账单-范,,-15
2023/9/20 2:50,支付宝,余额宝-收益发放,,4.17
2023/9/19 8:08,支付宝,钉钉群收款-收款账单-范,,-15
2023/9/19 2:49,支付宝,余额宝-收益发放,,4.05
2023/9/18 8:16,支付宝,火车票,,-183
2023/9/18 7:00,支付宝,icloud 由云上费州运营,,-6
2023/9/18 2:46,支付宝,余额宝-收益发放,,3.99
2023/9/17 13:20,支付宝,冰鲜 猪五花肉700g等3类商品,,-58.7
2023/9/17 2:33,支付宝,余额宝-收益发放,,3.99
2023/9/17 1:34,支付宝,海底捞火锅（望京新世界店),,-165.84
2023/9/16 21:07,支付宝,盒马苗苗菜 杭白菜苗 250g等2类.,,-17.57
2023/9/16 11:50,支付宝,平板电脑半导体水冷ipad制冷磁,,-287.75
2023/9/16 10:27,支付宝,收钱码收款-来自*宽,,1073.8
2023/9/16 2:58,支付宝,余额宝-收益发放,,4.16
2023/9/16 1:51,支付宝,海底撈火锅（望京新世界店),,-168.36
2023/9/15 21:47,支付宝,【户外季】神火自行车灯专用手电筒,,-152.1
2023/9/15 8:43,支付宝,钉钉群收款-收款账单-花,,-15
2023/9/15 2:51,支付宝,余額宝-收益发放,,3.9
2023/9/14 8:16,支付宝,钉钉群收款-收款账单-连德才,,-15
2023/9/14 2:47,支付宝,余额宝-收益发放,,3.92
2023/9/13 8:35,支付宝,钉钉群收款-收款账单-范,,-15
2023/9/13 8:35,支付宝,余额宝-收益发放,,3.15
2023/9/12 0:00,支付宝,淘宝｜透明充电宝,三期免息,-388.44
2023/9/12 0:00,支付宝,钉钉群收款-连德才,,-15
2023/9/11 0:00,支付宝,钉钉群收款-连德才,,-15
2023/9/10 0:00,支付宝,高德地图打车,,-18.52
